"policy_name","final_new_id","row_type","assignment_type","effective_rgb","effective_name","source_origin","preferred_source_subset","candidate_type","current_id","keeps_current_id","id_change_reason","placeholder_reason","modlu_old_id","modlu_old_rgb","modlu_old_name","orijinal_old_id","orijinal_old_rgb","orijinal_old_name","primary_status","rgb_resolution_status","source_id_conflict_status","final_id_status","notes"
"preserve_old_ids","1","candidate","keep_current_id","42,3,128","VESTFIRDIR","modlu","modlu_kalan","single_source","1","True","","","1","42,3,128","VESTFIRDIR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","2","candidate","keep_current_id","84,6,1","REYKJAVIK","modlu","modlu_kalan","single_source","2","True","","","2","84,6,1","REYKJAVIK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","3","candidate","keep_current_id","126,9,129","STOKKSEYRI","modlu","modlu_kalan","single_source","3","True","","","3","126,9,129","STOKKSEYRI","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","4","candidate","keep_current_id","168,12,2","REYDARFJALL","modlu","modlu_kalan","single_source","4","True","","","4","168,12,2","REYDARFJALL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","5","candidate","keep_current_id","0,15,130","HUSAVIK","modlu","modlu_kalan","single_source","5","True","","","5","0,15,130","HUSAVIK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","6","candidate","keep_current_id","168,45,177","TORSHAVN","modlu","modlu_kalan","single_source","6","True","","","6","168,45,177","TORSHAVN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","7","candidate","keep_current_id","84,21,131","SCALLOWAY","modlu","modlu_kalan","single_source","7","True","","","7","84,21,131","SCALLOWAY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","8","candidate","keep_current_id","126,24,4","KIRKWALL","modlu","modlu_kalan","single_source","8","True","","","8","126,24,4","KIRKWALL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","9","candidate","keep_current_id","168,27,132","DONEGAL","modlu","modlu_kalan","single_source","9","True","","","9","168,27,132","DONEGAL","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","10","candidate","keep_current_id","0,30,5","RAPHOE","modlu","modlu_kalan","single_source","10","True","","","10","0,30,5","RAPHOE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","11","candidate","keep_current_id","42,33,133","FAHAN","modlu","modlu_kalan","single_source","11","True","","","11","42,33,133","FAHAN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","12","candidate","keep_current_id","84,36,6","DERRY","modlu","modlu_kalan","single_source","12","True","","","12","84,36,6","DERRY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","13","candidate","keep_current_id","126,39,134","SLEMISH","modlu","modlu_kalan","single_source","13","True","","","13","126,39,134","SLEMISH","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","14","candidate","keep_current_id","168,42,7","CARRICKFERGUS","modlu","modlu_kalan","single_source","14","True","","","14","168,42,7","CARRICKFERGUS","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","15","candidate","keep_current_id","0,45,135","DOWNPATRICK","modlu","modlu_kalan","single_source","15","True","","","15","0,45,135","DOWNPATRICK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","16","candidate","keep_current_id","42,48,8","BALTIMORE","modlu","modlu_kalan","single_source","16","True","","","16","42,48,8","BALTIMORE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","17","candidate","keep_current_id","84,51,136","ARMAGH","modlu","modlu_kalan","single_source","17","True","","","17","84,51,136","ARMAGH","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","18","candidate","keep_current_id","126,54,9","DUNDALK","modlu","modlu_kalan","single_source","18","True","","","18","126,54,9","DUNDALK","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","19","candidate","keep_current_id","168,57,137","ARDEE","modlu","modlu_kalan","single_source","19","True","","","19","168,57,137","ARDEE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","20","candidate","keep_current_id","0,60,10","GALWAY","modlu","modlu_kalan","single_source","20","True","","","20","0,60,10","GALWAY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","21","candidate","keep_current_id","42,63,138","CASTLEBAR","modlu","modlu_kalan","single_source","21","True","","","21","42,63,138","CASTLEBAR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","22","candidate","keep_current_id","84,66,11","SLIGO","modlu","modlu_kalan","single_source","22","True","","","22","84,66,11","SLIGO","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","23","candidate","keep_current_id","126,69,139","ATHENRY","modlu","modlu_kalan","single_source","23","True","","","23","126,69,139","ATHENRY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","24","candidate","keep_current_id","168,72,12","DROMAHAIR","modlu","modlu_kalan","single_source","24","True","","","24","168,72,12","DROMAHAIR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","25","candidate","keep_current_id","0,75,140","BELCOO","modlu","modlu_kalan","single_source","25","True","","","25","0,75,140","BELCOO","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","26","candidate","keep_current_id","42,78,13","LONGFORD","modlu","modlu_kalan","single_source","26","True","","","26","42,78,13","LONGFORD","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","27","candidate","keep_current_id","126,84,14","CAVAN","modlu","modlu_kalan","single_source","27","True","","","27","126,84,14","CAVAN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","28","candidate","keep_current_id","84,81,141","DUBLIN","modlu","modlu_kalan","single_source","28","True","","","28","84,81,141","DUBLIN","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","29","candidate","keep_current_id","168,87,142","WICKLOW","modlu","modlu_kalan","single_source","29","True","","","29","168,87,142","WICKLOW","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","30","candidate","keep_current_id","0,90,15","KILDARE","modlu","modlu_kalan","single_source","30","True","","","30","0,90,15","KILDARE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","31","candidate","keep_current_id","42,93,143","TRIM","modlu","modlu_kalan","single_source","31","True","","","31","42,93,143","TRIM","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","32","candidate","keep_current_id","84,96,16","DROGHEDA","modlu","modlu_kalan","single_source","32","True","","","32","84,96,16","DROGHEDA","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","33","candidate","keep_current_id","126,99,144","BIRR","modlu","modlu_kalan","single_source","33","True","","","33","126,99,144","BIRR","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","34","candidate","keep_current_id","168,102,17","ATHLONE","modlu","modlu_kalan","single_source","34","True","","","34","168,102,17","ATHLONE","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","35","candidate","keep_current_id","0,105,145","ARDNAMURCHON","modlu","modlu_kalan","single_source","35","True","","","35","0,105,145","ARDNAMURCHON","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","36","candidate","keep_current_id","42,108,18","UISNEACH","modlu","modlu_kalan","single_source","36","True","","","36","42,108,18","UISNEACH","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","37","candidate","keep_current_id","84,111,146","WEXFORD","modlu","modlu_kalan","single_source","37","True","","","37","84,111,146","WEXFORD","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","38","candidate","keep_current_id","126,114,19","ENNISCORTHY","modlu","modlu_kalan","single_source","38","True","","","38","126,114,19","ENNISCORTHY","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","39","candidate","keep_current_id","168,117,147","FERNS","modlu","modlu_kalan","single_source","39","True","","","39","168,117,147","FERNS","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
"preserve_old_ids","40","candidate","keep_current_id","0,120,20","CARLOW","modlu","modlu_kalan","single_source","40","True","","","40","0,120,20","CARLOW","","","","mod_only","unchanged","no_id_conflict_flag","draft_keep_id",""
